BSSID,Count
70:e4:22:c9:0a:58:,80
1c:61:b4:c6:9c:2b:,72
70:e4:22:c9:0a:57:,64
2c:d0:2d:d4:b1:47:,57
2c:d0:2d:d4:b1:48:,56
1c:61:b4:c6:9c:29:,52
8e:1f:64:8a:a0:33:,50
28:87:ba:ef:5e:31:,50
ce:1f:64:8a:a0:33:,45
b4:a7:c6:f3:11:3b:,40
00:27:90:c9:1b:47:,33
00:27:90:c9:1b:48:,33
1c:61:b4:c6:b6:de:,30
1c:61:b4:c6:b6:e0:,28
70:e4:22:c9:0a:51:,28
72:23:51:a4:d5:1f:,28
70:e4:22:c0:1a:08:,28
bc:22:28:45:6b:14:,27
b4:a7:c6:f3:11:3c:,24
70:e4:22:97:83:d7:,24
2c:d0:2d:d4:b1:4f:,23
70:e4:22:c9:0a:50:,22
2c:d0:2d:d4:b1:4e:,22
14:eb:b6:79:21:c8:,22
2c:d0:2d:d4:b1:40:,21
60:e3:27:b3:3b:f2:,20
92:cb:96:65:a4:d2:,20
1c:61:b4:c6:98:29:,20
ba:d3:6a:73:f7:cb:,20
ba:6b:ad:3a:d9:69:,20
12:ff:7b:35:02:ae:,20
2e:54:06:24:83:66:,20
96:c0:b9:6c:72:73:,20
aa:d0:43:4d:29:9f:,20
62:19:21:30:7d:7f:,19
70:e4:22:97:83:d8:,19
5c:02:14:65:04:47:,19
dc:ea:e7:b9:14:8a:,18
dc:ea:e7:b9:16:00:,18
dc:ea:e7:b9:14:88:,18
dc:ea:e7:b9:14:8b:,18
28:87:ba:ef:5e:32:,18
70:e4:22:c9:0a:5f:,18
dc:ea:e7:b9:15:6b:,17
c2:18:03:a2:72:cb:,17
70:e4:22:97:89:37:,17
dc:ea:e7:b9:15:6a:,16
2c:d0:2d:d4:b1:41:,16
dc:ea:e7:b9:15:68:,16
70:e4:22:c9:0a:5e:,16
18:0f:76:8c:c4:88:,16
40:ed:00:ee:a5:a4:,15
dc:ea:e7:b9:16:0a:,15
dc:ea:e7:b9:16:08:,15
c2:18:03:a2:73:42:,15
dc:ea:e7:b9:16:0b:,15
14:eb:b6:79:21:c7:,14
70:e4:22:97:89:38:,14
10:05:ca:56:82:07:,14
dc:ea:e7:b9:14:f0:,14
c2:18:03:a2:72:d0:,14
c2:18:03:a7:79:ff:,13
70:e4:22:c0:1a:07:,13
d4:35:38:f5:d6:f0:,13
c2:18:03:a7:79:f7:,13
12:b6:76:d6:19:8d:,13
20:b5:c6:cb:83:78:,13
06:68:74:99:ec:b2:,13
54:4a:00:5a:84:87:,12
dc:ea:e7:b9:15:28:,12
dc:ea:e7:b9:15:50:,12
ee:ad:e0:43:8f:2a:,12
70:e4:22:97:83:d1:,12
dc:ea:e7:b9:15:2b:,12
dc:ea:e7:b9:15:20:,12
dc:ea:e7:b9:15:2a:,12
d4:35:38:f5:d6:f1:,12
dc:ea:e7:b9:13:50:,12
c2:18:03:a7:79:f4:,11
c2:18:03:a7:7a:3f:,11
70:e4:22:97:83:d0:,11
3e:0a:f3:e2:82:6a:,11
dc:ea:e7:b9:13:e8:,11
c6:35:32:73:9b:81:,10
dc:ea:e7:b9:15:5a:,10
dc:ea:e7:b9:15:5b:,10
dc:ea:e7:b9:14:80:,10
02:c2:c6:ac:15:ca:,10
d4:35:38:f5:44:78:,10
ea:f3:bc:51:91:c5:,10
00:27:90:c9:1b:4f:,10
00:27:90:c9:1b:4e:,10
10:05:ca:56:82:08:,10
54:4a:00:5a:84:88:,10
52:49:28:c4:5e:52:,10
70:e4:22:c0:1a:00:,10
70:e4:22:c0:1a:01:,10
d8:5d:e2:3d:5c:4d:,9
dc:ea:e7:b9:13:e0:,9
7a:23:51:a4:d5:18:,9
dc:ea:e7:b9:13:ea:,9
00:27:90:c9:1b:41:,9
ec:75:0c:25:6b:65:,9
dc:62:79:c3:60:5a:,9
00:1e:a6:83:db:60:,9
1c:61:b4:c6:98:27:,8
00:27:90:c9:1b:40:,8
70:e4:22:c0:1a:0e:,8
f0:a7:31:e9:e1:c2:,8
ce:50:dd:8e:b3:2e:,8
00:19:3b:15:1f:3a:,8
