Location_Label,Burst_ID,Scan_Index,BSSID,SSID,RSSI
minireception,burst_1764311055,1,70:e4:22:c9:0a:57:,NIT-HOSTEL,-89
minireception,burst_1764311055,1,1c:61:b4:c6:9c:2b:,NIT_WIFI,-89
minireception,burst_1764311055,1,1c:61:b4:c6:9c:29:,NIT_WIFI,-83
minireception,burst_1764311055,1,1c:61:b4:c6:9c:2b:,NIT_WIFI,-89
minireception,burst_1764311055,1,1c:61:b4:c6:9c:29:,NIT_WIFI,-83
minireception,burst_1764311055,1,ce:50:dd:8e:b3:2e:,DESKTOP-PI73T1J 7570,-67
minireception,burst_1764311055,1,12:b6:76:d6:19:8d:,HP=SMB01<8D_Color LJ 3203,-59
minireception,burst_1764311055,1,70:e4:22:c9:0a:57:,NIT-HOSTEL,-89
minireception,burst_1764311055,1,70:e4:22:c9:0a:5f:,DIR_WIFI,-89
minireception,burst_1764311055,1,70:e4:22:c9:0a:58:,Test,-88
minireception,burst_1764311055,1,a4:2a:95:3b:1a:28:,DIR-825-5G-1A27,-86
minireception,burst_1764311055,1,6a:19:21:30:7d:78:,NIT-Wi-Fi_GH_4F,-85
minireception,burst_1764311055,2,2c:d0:2d:d4:b1:47:,NIT-HOSTEL,-90
minireception,burst_1764311055,2,70:e4:22:c9:0a:57:,NIT-HOSTEL,-89
minireception,burst_1764311055,2,1c:61:b4:c6:9c:29:,NIT_WIFI,-81
minireception,burst_1764311055,2,1c:61:b4:c6:9c:2b:,NIT_WIFI,-89
minireception,burst_1764311055,2,1c:61:b4:c6:9c:29:,NIT_WIFI,-81
minireception,burst_1764311055,2,1c:61:b4:c6:9c:2b:,NIT_WIFI,-89
minireception,burst_1764311055,2,70:e4:22:c9:0a:5f:,DIR_WIFI,-89
minireception,burst_1764311055,2,2c:d0:2d:d4:b1:40:,DIR_WIFI,-87
minireception,burst_1764311055,2,70:e4:22:c9:0a:58:,Test,-88
minireception,burst_1764311055,2,2c:d0:2d:d4:b1:48:,Test,-89
minireception,burst_1764311055,2,70:e4:22:c9:0a:5e:,NIT-WIFI,-88
minireception,burst_1764311055,2,2c:d0:2d:d4:b1:47:,NIT-HOSTEL,-90
minireception,burst_1764311055,2,70:e4:22:c9:0a:57:,NIT-HOSTEL,-89
minireception,burst_1764311055,2,a4:2a:95:3b:1a:28:,DIR-825-5G-1A27,-86
minireception,burst_1764311055,2,62:19:21:30:7d:7f:,NIT-Wi-Fi_GH_4F,-89
minireception,burst_1764311055,2,6a:19:21:30:7d:78:,NIT-Wi-Fi_GH_4F,-85
minireception,burst_1764311055,2,ce:50:dd:8e:ba:b4:,EC_Conf_Room,-62
minireception,burst_1764311055,2,ce:50:dd:8e:b3:2e:,DESKTOP-PI73T1J 7570,-68
minireception,burst_1764311055,2,52:c2:e8:0d:bd:30:,DIRECT-30-HP M233 LaserJet,-84
minireception,burst_1764311055,2,12:b6:76:d6:19:8d:,HP=SMB01<8D_Color LJ 3203,-61
minireception,burst_1764311055,3,70:e4:22:c9:0a:57:,NIT-HOSTEL,-90
minireception,burst_1764311055,3,2c:d0:2d:d4:b1:47:,NIT-HOSTEL,-90
minireception,burst_1764311055,3,1c:61:b4:c6:9c:2b:,NIT_WIFI,-89
minireception,burst_1764311055,3,1c:61:b4:c6:9c:29:,NIT_WIFI,-83
minireception,burst_1764311055,3,1c:61:b4:c6:9c:2b:,NIT_WIFI,-89
minireception,burst_1764311055,3,1c:61:b4:c6:9c:29:,NIT_WIFI,-83
minireception,burst_1764311055,3,70:e4:22:c9:0a:58:,Test,-89
minireception,burst_1764311055,3,2c:d0:2d:d4:b1:48:,Test,-89
minireception,burst_1764311055,3,70:e4:22:c9:0a:5e:,NIT-WIFI,-89
minireception,burst_1764311055,3,2c:d0:2d:d4:b1:4e:,NIT-WIFI,-88
minireception,burst_1764311055,3,70:e4:22:c9:0a:57:,NIT-HOSTEL,-90
minireception,burst_1764311055,3,2c:d0:2d:d4:b1:47:,NIT-HOSTEL,-90
minireception,burst_1764311055,3,2c:d0:2d:d4:b1:4f:,DIR_WIFI,-89
minireception,burst_1764311055,3,2c:d0:2d:d4:b1:40:,DIR_WIFI,-87
minireception,burst_1764311055,3,70:e4:22:c9:0a:5f:,DIR_WIFI,-89
minireception,burst_1764311055,3,a4:2a:95:3b:1a:28:,DIR-825-5G-1A27,-86
minireception,burst_1764311055,3,62:19:21:30:7d:7f:,NIT-Wi-Fi_GH_4F,-89
minireception,burst_1764311055,3,6a:19:21:30:7d:78:,NIT-Wi-Fi_GH_4F,-85
minireception,burst_1764311055,3,40:ed:00:ee:a5:a4:,Sachin singh,-86
minireception,burst_1764311055,3,ce:50:dd:8e:b3:2e:,DESKTOP-PI73T1J 7570,-68
minireception,burst_1764311055,3,ce:50:dd:8e:ba:b4:,EC_Conf_Room,-62
minireception,burst_1764311055,3,12:b6:76:d6:19:8d:,HP=SMB01<8D_Color LJ 3203,-61
minireception,burst_1764311055,3,c2:18:03:a2:73:42:,DIRECT-42-HP Laser 138fnw,-87
minireception,burst_1764311055,3,c2:18:03:a2:72:cb:,DIRECT-CB-HP Laser 138fnw,-79
minireception,burst_1764311055,3,c2:18:03:a7:79:f4:,DIRECT-F4-HP LaserAM,-85
minireception,burst_1764311055,3,52:c2:e8:0d:bd:30:,DIRECT-30-HP M233 LaserJet,-84
minireception,burst_1764311055,4,70:e4:22:c9:0a:57:,NIT-HOSTEL,-90
minireception,burst_1764311055,4,1c:61:b4:c6:9c:2b:,NIT_WIFI,-93
minireception,burst_1764311055,4,1c:61:b4:c6:9c:29:,NIT_WIFI,-83
minireception,burst_1764311055,4,1c:61:b4:c6:9c:2b:,NIT_WIFI,-93
minireception,burst_1764311055,4,1c:61:b4:c6:9c:29:,NIT_WIFI,-83
minireception,burst_1764311055,4,70:e4:22:c9:0a:58:,Test,-89
minireception,burst_1764311055,4,70:e4:22:c9:0a:5e:,NIT-WIFI,-89
minireception,burst_1764311055,4,2c:d0:2d:d4:b1:4e:,NIT-WIFI,-88
minireception,burst_1764311055,4,70:e4:22:c9:0a:57:,NIT-HOSTEL,-90
minireception,burst_1764311055,4,2c:d0:2d:d4:b1:4f:,DIR_WIFI,-89
minireception,burst_1764311055,4,2c:d0:2d:d4:b1:40:,DIR_WIFI,-87
minireception,burst_1764311055,4,a4:2a:95:3b:1a:28:,DIR-825-5G-1A27,-86
minireception,burst_1764311055,4,62:19:21:30:7d:7f:,NIT-Wi-Fi_GH_4F,-89
minireception,burst_1764311055,4,40:ed:00:ee:a5:a4:,Sachin singh,-86
minireception,burst_1764311055,4,ce:50:dd:8e:b3:2e:,DESKTOP-PI73T1J 7570,-68
minireception,burst_1764311055,4,ce:50:dd:8e:ba:b4:,EC_Conf_Room,-62
minireception,burst_1764311055,4,12:b6:76:d6:19:8d:,HP=SMB01<8D_Color LJ 3203,-61
minireception,burst_1764311055,4,c2:18:03:a2:73:42:,DIRECT-42-HP Laser 138fnw,-87
minireception,burst_1764311055,4,c2:18:03:a2:72:cb:,DIRECT-CB-HP Laser 138fnw,-79
minireception,burst_1764311055,4,c2:18:03:a7:79:f4:,DIRECT-F4-HP LaserAM,-85
minireception,burst_1764311055,5,1c:61:b4:c6:9c:2b:,NIT_WIFI,-91
minireception,burst_1764311055,5,1c:61:b4:c6:9c:2b:,NIT_WIFI,-91
minireception,burst_1764311055,6,2c:d0:2d:d4:b1:48:,NIT-HOSTEL,-84
minireception,burst_1764311055,6,70:e4:22:c9:0a:58:,NIT-HOSTEL,-86
minireception,burst_1764311055,6,70:e4:22:c9:0a:57:,NIT-HOSTEL,-90
minireception,burst_1764311055,6,1c:61:b4:c6:9c:2b:,NIT_WIFI,-88
minireception,burst_1764311055,6,1c:61:b4:c6:9c:29:,NIT_WIFI,-83
minireception,burst_1764311055,6,1c:61:b4:c6:9c:2b:,NIT_WIFI,-88
minireception,burst_1764311055,6,1c:61:b4:c6:9c:29:,NIT_WIFI,-83
minireception,burst_1764311055,6,c6:3c:b0:00:35:6a:,civil,-88
minireception,burst_1764311055,6,e2:da:11:7d:51:53:,J.A.R.V.I.S,-98
minireception,burst_1764311055,6,ce:50:dd:8e:b3:2e:,DESKTOP-PI73T1J 7570,-66
minireception,burst_1764311055,6,2c:d0:2d:d4:b1:48:,NIT-HOSTEL,-84
minireception,burst_1764311055,6,70:e4:22:c9:0a:58:,NIT-HOSTEL,-86
minireception,burst_1764311055,6,70:e4:22:c9:0a:57:,NIT-HOSTEL,-90
minireception,burst_1764311055,6,2c:d0:2d:d4:b1:4f:,DIR_WIFI,-90
minireception,burst_1764311055,6,2c:d0:2d:d4:b1:40:,DIR_WIFI,-88
minireception,burst_1764311055,6,12:b6:76:d6:19:8d:,HP=SMB01<8D_Color LJ 3203,-65
minireception,burst_1764311055,6,c2:18:03:a7:79:ff:,DIRECT-FF-HP Laser 138fnw,-86
minireception,burst_1764311055,6,70:e4:22:c9:0a:58:,Test,-88
minireception,burst_1764311055,6,70:e4:22:c9:0a:57:,Test,-86
minireception,burst_1764311055,6,c2:18:03:a2:73:3b:,DIRECT-3B-HP Laser 138fnw,-78
minireception,burst_1764311055,6,2c:d0:2d:d4:b1:4e:,NIT-WIFI,-89
minireception,burst_1764311055,6,70:e4:22:c9:0a:51:,NIT-WIFI,-81
minireception,burst_1764311055,6,70:e4:22:c9:0a:5e:,NIT-WIFI,-89
minireception,burst_1764311055,6,c2:18:03:a2:73:42:,DIRECT-42-HP Laser 138fnw,-86
minireception,burst_1764311055,6,a4:2a:95:3b:1a:28:,DIR-825-5G-1A27,-86
minireception,burst_1764311055,6,62:19:21:30:7d:7f:,NIT-Wi-Fi_GH_4F,-89
minireception,burst_1764311055,6,ce:50:dd:8e:ba:b4:,EC_Conf_Room,-62
minireception,burst_1764311055,6,40:ed:00:ee:a5:a4:,Sachin singh,-86
minireception,burst_1764311055,6,c2:18:03:a2:72:cb:,DIRECT-CB-HP Laser 138fnw,-83
minireception,burst_1764311055,7,2c:d0:2d:d4:b1:48:,NIT-HOSTEL,-85
minireception,burst_1764311055,7,70:e4:22:c9:0a:58:,NIT-HOSTEL,-73
minireception,burst_1764311055,7,1c:61:b4:c6:9c:29:,NIT_WIFI,-83
minireception,burst_1764311055,7,ce:50:dd:8e:b3:2e:,DESKTOP-PI73T1J 7570,-67
minireception,burst_1764311055,7,ce:50:dd:8e:ba:b4:,EC_Conf_Room,-69
minireception,burst_1764311055,7,12:ff:7b:35:02:ae:,Infinix ZERO 40 5G,-72
minireception,burst_1764311055,7,1c:61:b4:c6:9c:29:,NIT_WIFI,-83
minireception,burst_1764311055,7,2c:d0:2d:d4:b1:48:,NIT-HOSTEL,-85
minireception,burst_1764311055,7,70:e4:22:c9:0a:58:,NIT-HOSTEL,-73
minireception,burst_1764311055,7,2c:d0:2d:d4:b1:47:,Test,-88
minireception,burst_1764311055,7,70:e4:22:c9:0a:57:,Test,-69
minireception,burst_1764311055,7,70:e4:22:c9:0a:58:,Test,-88
minireception,burst_1764311055,7,00:27:90:c9:1b:47:,Test,-90
minireception,burst_1764311055,7,70:e4:22:97:83:d7:,Test,-92
minireception,burst_1764311055,7,2c:d0:2d:d4:b1:41:,NIT-WIFI,-88
minireception,burst_1764311055,7,70:e4:22:97:83:d1:,NIT-WIFI,-91
minireception,burst_1764311055,7,70:e4:22:c9:0a:51:,NIT-WIFI,-72
minireception,burst_1764311055,7,2c:d0:2d:d4:b1:4e:,NIT-WIFI,-89
minireception,burst_1764311055,7,2c:d0:2d:d4:b1:40:,DIR_WIFI,-88
minireception,burst_1764311055,7,70:e4:22:c9:0a:50:,DIR_WIFI,-75
minireception,burst_1764311055,7,2c:d0:2d:d4:b1:4f:,DIR_WIFI,-90
minireception,burst_1764311055,7,12:b6:76:d6:19:8d:,HP=SMB01<8D_Color LJ 3203,-55
minireception,burst_1764311055,7,5c:02:14:65:04:46:,15,-81
minireception,burst_1764311055,7,c2:18:03:a2:72:cb:,DIRECT-CB-HP Laser 138fnw,-69
minireception,burst_1764311055,7,c2:18:03:a7:79:ff:,DIRECT-FF-HP Laser 138fnw,-88
minireception,burst_1764311055,7,c2:18:03:a2:72:c7:,DIRECT-C7-HP Laser 138fnw,-84
minireception,burst_1764311055,7,40:ed:00:ee:a5:a4:,Sachin singh,-88
minireception,burst_1764311055,7,52:f5:5c:c6:f9:54:,divya,-93
minireception,burst_1764311055,7,50:2b:73:05:ad:f8:,C403,-92
minireception,burst_1764311055,7,52:c2:e8:0d:bd:30:,DIRECT-30-HP M233 LaserJet,-81
minireception,burst_1764311055,8,2c:d0:2d:d4:b1:48:,NIT-HOSTEL,-85
minireception,burst_1764311055,8,70:e4:22:c9:0a:58:,NIT-HOSTEL,-73
minireception,burst_1764311055,8,1c:61:b4:c6:9c:29:,NIT_WIFI,-83
minireception,burst_1764311055,8,1c:61:b4:c6:9c:2b:,NIT_WIFI,-89
minireception,burst_1764311055,8,1c:61:b4:c6:9c:29:,NIT_WIFI,-83
minireception,burst_1764311055,8,1c:61:b4:c6:9c:2b:,NIT_WIFI,-89
minireception,burst_1764311055,8,70:e4:22:c9:0a:5e:,NIT-WIFI,-94
minireception,burst_1764311055,8,2c:d0:2d:d4:b1:41:,NIT-WIFI,-88
minireception,burst_1764311055,8,70:e4:22:97:83:d1:,NIT-WIFI,-91
minireception,burst_1764311055,8,70:e4:22:c9:0a:51:,NIT-WIFI,-72
minireception,burst_1764311055,8,2c:d0:2d:d4:b1:4e:,NIT-WIFI,-89
minireception,burst_1764311055,8,5c:02:14:65:04:47:,15,-93
minireception,burst_1764311055,8,5c:02:14:65:04:46:,15,-81
minireception,burst_1764311055,8,dc:62:79:c1:93:e8:,TP-X,-91
minireception,burst_1764311055,8,c2:18:03:a2:72:cb:,DIRECT-CB-HP Laser 138fnw,-69
minireception,burst_1764311055,8,ce:50:dd:8e:b3:2e:,DESKTOP-PI73T1J 7570,-67
minireception,burst_1764311055,8,ce:50:dd:8e:ba:b4:,EC_Conf_Room,-69
minireception,burst_1764311055,8,12:ff:7b:35:02:ae:,Infinix ZERO 40 5G,-71
minireception,burst_1764311055,8,2c:d0:2d:d4:b1:48:,NIT-HOSTEL,-85
minireception,burst_1764311055,8,70:e4:22:c9:0a:58:,NIT-HOSTEL,-73
minireception,burst_1764311055,8,2c:d0:2d:d4:b1:47:,Test,-88
minireception,burst_1764311055,8,70:e4:22:c9:0a:57:,Test,-69
minireception,burst_1764311055,8,70:e4:22:c9:0a:58:,Test,-88
